Sub-ID,Age,check-1,4-1,6-1,3-1,7-1,5-1,check-1,6-2,4-2,7-2,5-2,3-2,check-2,7-3,5-3,3-3,6-3,4-3,check-3,PE-check-1,PE-4-1,PE-6-1,PE-3-1,PE-7-1,PE-5-1,PE-check-2,PE-6-2,PE-4-2,PE-7-2,PE-5-2,PE-3-2,PE-check-3,PE-7-3,PE-5-3,PE-3-3,PE-6-3,PE-4-3,PE-check-4
11/8/19-01,4.36,y,some,some,a lot,many,some,y,some,many,many,some,some,y,many,some,many,some,many,y,y,many,many,some,a lot,some,y,a lot,some,many,some,some,y,some,many,some,many,some,y
11/11/19-01,4.82,y,some,some,some,many,some,y,some,some,some,some,some,y,lots,some,some,some,some,y,y,some,some,some,many,many,y,many,some,many,some,some,y,many,some,some,some,some,y
11/11/19-02,4.03,y,some,many,some,many,many,y,many,some,many,some,some,y,many,some,many,many,some,y,y,four,many,some,many,many,y,many,some,many,some,some,y,some,some,some,many,some,y
11/13/19-01,4.62,y,some,many,some,many,some,y,some,some,many,some,many,y,many,some,some,some,some,y,y,some,many,some,many,some,y,many,some,many,some,many,y,many,some,some,many,some,y
11/16/19-01,4.85,y,some,some,some,many,some,y,some,some,some,some,some,y,lots,some,some,many,some,y,y,some,some,some,some,some,y,some,some,some,some,some,y,some,some,some,many,some,y
11/16/19-02,4.36,y,some,some,some,some,some,y,some,some,some,some,some,y,seven,some,some,some,some,y,y,some,some,some,some,some,y,some,some,some,some,some,y,some,some,some,some,some,x
11/16/19-03,5.02,y,some,many,some,many,many,y,many,other-not many,many,some,some,y,many,"other-""not many""",some,some,some,y,y,some,a lot,"other-""not many""",many,many,y,a lot,many,some,some,some,y,many,some,many,many,some,y
11/18/19-01,4.95,y,some,many,some,many,some,y,many,some,many,some,some,y,many,some,some,some,some,y,y,some,many,some,many,many,y,some,many,many,some,some,y,some,some,some,some,some,y
11/18/19-02,4.91,y,some,many,some,many,some,y,many,some,many,some,some,y,many,many,some,many,some,y,y,many,many,some,many,many,y,many,many,many,many,some,y,many,many,some,many,many,y
11/18/19-03,4.76,y,some,many,some,many,many,y,many,some,many,some,some,y,many,some,some,many,some,y,y,many,many,many,some,many,y,many,many,many,some,many,y,some,many,many,many,some,y
11/19/19-01,4.44,y,some,some,some,some,some,y,some,a lot,some,many,some,y,many,many,some,many,some,y,y,lot,lots,some,many,many,y,some,some,many,many,some,y,many,many,some,a lot,some,y
11/20/19-01,4.23,y,some,many,some,some,some,y,many,some,many,some,some,y,many,many,some,many,some,y,y,some,many,some,many,the same amount,y,many,many,many,many,some,y,many,many,some,many,all of them are many,y
11/20/19-02,4.85,y,many,a lot,many,some,many,y,all,many,many,both,many,y,many,some,some,some,many of them are not candy,y,y,many,many,some,some,many,y,some,many,some,many,other,x,many,lots,many,some,many,y
1/17/20-01,4.1,y,some,many,some,other,some,y,other,some,many,many,some,y,many,some,many,some,some,y,y,some,other,some,some,some,y,some,many,some,many,other,y,many,many,some,some,many,y
1/17/20-02,4.4,y,many,many,many,many,some,y,some,some,many,many,some,y,many,many,some,many,some,y,y,many,many,many,many,some,y,many,many,many,many,some,y,many,some,some,some,many,y
1/17/20-03,4.62,y,some,many,some,many,many,y,many,some,many,many,some,y,many,some,some,many,some,y,y,some,some,many,many,some,y,many,many,many,some,some,y,many,many,some,many,many,y
1/17/20-04,5.23,y,other,many,some,many,many,y,many,some,some,some,some,y,some,many,some,many,some,y,y,other,some,many,many,many,y,many,many,many,many,many,y,many,many,many,many,many,y
1/17/20-05,4.35,y,some,some,some,many,some,y,some,some,many,some,some,y,some,some,some,some,some,y,y,many,some,many,many,some,y,many,some,many,some,many,y,many,many,many,some,some,y
1/17/20-06,4.42,y,some,some,many,many,some,y,many,some,many,some,some,y,many,some,some,some,many,y,y,many,some,some,many,many,y,other,other,many,some,some,y,many,many,some,many,some,y
1/17/20-07,4.74,y,some,many,some,many,many,y,many,some,many,some,some,y,many,some,some,many,some,y,y,some,many,some,many,some,y,many,some,many,some,some,y,many,some,some,many,some,y